Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
Motifs,4,10,15,0,1,False,1,True,10,0.87,132.41
Motifs,4,10,20,0,1,False,1,True,10,0.86,122.48
Motifs,4,50,20,0,1,False,1,True,10,0.84,88.77
Motifs,4,30,20,0,2,False,1,True,10,0.84,100.17
Motifs,4,30,20,0,2,False,1,True,50,0.87,225.4
Discords,2,30,20,0,2,False,1,True,50,0.91,115.95
Discords,3,30,20,0,2,False,1,True,50,0.91,173.7
Discords,4,30,20,0,2,False,1,True,50,0.9,226.61
Discords,5,50,20,0,2,False,1,True,50,0.9,284.27
Discords,5,50,10,0,2,False,1,True,50,0.81,268.88
Discords,5,50,15,0,2,False,1,True,50,0.89,266.67
Both,4,50,15,0,2,False,1,True,50,0.86,229.0
Discords,3,20,20,1,2,False,1,True,20,0.91,102.7
