Candidates,Max depth,Min samples,Window size,Remove candi,k,% Training set,Accuracy,Time
Motifs,4,50,25,1,2,0.05,0.27,3985.94
Motifs,2,50,20,1,1,0.3,0.48,2455.73
Motifs,3,50,20,1,1,0.3,0.52,2955.08
Motifs,3,50,20,0,1,0.3,0.52,2914.98
Motifs,3,50,10,0,1,0.3,0.42,3142.09
Motifs,3,50,15,0,1,0.3,0.44,3210.73
Motifs,3,50,25,0,1,0.3,0.47,3079.04
Motifs,3,50,25,0,1,0.3,0.41,25864.05
