Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time
Discords,2,10,5,0,1,False,1,True,10,0.56,3.29
Discords,3,10,5,0,1,False,1,True,10,0.59,4.08
Discords,4,10,5,0,1,False,1,True,10,0.59,4.32
Discords,5,10,5,0,1,False,1,True,10,0.59,4.56
Discords,5,10,10,0,1,False,1,True,10,0.55,5.61
Discords,5,20,10,0,1,False,1,True,10,0.53,4.9
Discords,4,20,10,0,1,False,1,True,10,0.53,4.92
Discords,3,20,10,0,1,False,1,True,10,0.53,4.43
Discords,3,20,15,0,1,False,1,True,10,0.65,3.86
Discords,3,20,15,0,2,False,1,True,10,0.75,4.35
Discords,3,20,15,0,2,False,1,True,20,0.67,6.71
Discords,4,20,15,0,2,False,1,True,20,0.67,6.69
Discords,5,20,15,0,2,False,1,True,20,0.67,6.61
Discords,3,20,20,0,2,False,1,True,20,0.91,5.37
Discords,4,20,20,0,2,False,1,True,20,0.91,5.42
Both,4,20,20,0,2,False,1,True,20,0.76,8.22
Both,5,20,20,0,2,False,1,True,20,0.76,8.27
Both,3,20,20,0,2,False,1,True,20,0.76,6.71
Both,2,20,20,0,2,False,1,True,20,0.75,5.19
Both,4,20,20,1,2,False,1,True,20,0.76,8.55
Motifs,4,20,20,1,2,False,1,True,20,0.89,7.9
Discords,4,20,20,1,2,False,1,True,20,0.91,5.99
