Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustring,NumCluster(Medoids),Accuracy,Time
Discords,4,10,60,1,2,False,0.8,True,40,0.66,17.65
Discords,4,10,60,1,2,False,0.9,True,40,0.67,22.87
Discords,4,10,60,1,2,False,0.9,True,40,0.61,25.31
Discords,4,10,60,1,2,False,0.9,True,40,0.67,26.84
Discords,4,10,60,1,2,False,0.9,True,40,0.67,24.11
Discords,4,10,60,1,2,False,0.9,True,40,0.55,26.19
Discords,4,10,60,1,2,False,0.9,True,40,0.68,25.05
Discords,4,10,60,1,2,False,0.9,True,40,0.62,22.3
Discords,4,10,60,1,2,False,0.9,True,40,0.67,22.51
Discords,4,10,60,1,2,False,0.9,True,40,0.67,23.12
Discords,4,10,60,0,2,False,1,True,20,0.59,85.13
Discords,4,10,60,1,2,False,1,True,20,0.59,32.57
Discords,4,10,60,1,2,False,1,True,20,0.59,59.64
Discords,4,10,60,1,2,True,0.3,True,20,0.7,20.22
Discords,4,10,60,1,2,True,0.3,True,20,0.8,49.48
Discords,4,10,60,1,2,True,0.3,True,20,0.6,39.54
Discords,4,10,60,1,2,True,0.3,True,20,0.6,24.28
Discords,4,10,60,1,2,True,0.3,True,20,0.7,86.46
Discords,4,10,60,1,2,False,1,True,20,0.59,39.47
Discords,4,10,60,1,2,False,1,True,20,0.59,31.4
Discords,4,10,60,1,2,False,1,True,20,0.59,23.06
Discords,4,10,60,1,2,False,1,True,20,0.59,22.15
Discords,4,10,60,1,2,False,1,True,20,0.59,21.33
Discords,3,10,60,1,2,False,1,True,20,0.59,20.71
Discords,2,10,60,1,2,False,1,True,20,0.59,19.31
Discords,3,10,60,1,2,False,1,False,20,0.71,72.01
Both,3,10,60,1,2,False,1,False,20,0.54,281.85
Both,3,10,40,1,2,False,1,False,20,0.59,208.66
Both,3,10,50,1,2,False,1,False,20,0.55,184.51
Discords,3,10,50,0,2,False,1,False,20,0.67,77.99
Discords,3,5,50,0,3,False,1,False,20,0.49,157.44
Discords,3,15,50,0,3,False,1,False,20,0.65,105.43
Motifs,3,20,50,0,3,False,1,False,20,0.55,201.67
Motifs,3,20,45,0,3,False,1,False,20,0.55,95.95
Discords,3,20,45,0,3,False,1,False,20,0.57,118.57
Discords,5,20,45,0,3,False,1,False,20,0.57,211.37
